latitude,longitude,temperature_celsius,wind_mph,wind_kph,pressure_mb,humidity,cloud,feels_like_celsius
50.08,14.47,18.0,19.2,31.0,1011.0,49,0,18.0
-4.3,15.3,29.4,2.5,4.0,1012.0,67,15,33.2
55.67,12.58,16.0,19.2,31.0,1017.0,55,0,16.0
11.6,43.15,31.8,8.1,13.0,1010.0,68,6,39.2
15.3,-61.4,27.2,7.8,12.6,1013.0,78,70,30.4
18.47,-69.9,23.0,8.1,13.0,1014.0,94,50,25.3
-0.22,-78.5,11.9,2.7,4.3,1016.0,92,76,12.1
30.05,31.25,27.0,9.4,15.1,1019.0,32,0,25.7
13.71,-89.2,26.0,2.2,3.6,1010.0,94,50,30.2
3.75,8.78,30.0,3.8,6.1,1012.0,89,50,35.7
15.33,38.93,22.6,2.9,4.7,1015.0,42,80,24.3
59.43,24.73,19.0,13.6,22.0,1024.0,43,0,19.0
-26.32,31.13,22.2,3.8,6.1,1025.0,39,2,24.0
9.03,38.7,22.3,6.7,10.8,1016.0,48,72,24.4
-18.13,178.42,26.0,9.4,15.1,1012.0,89,75,29.5
60.18,24.93,22.0,15.0,24.1,1022.0,33,0,24.2
48.87,2.33,15.0,10.5,16.9,1006.0,72,50,14.8
0.38,9.45,29.0,9.4,15.1,1012.0,75,25,34.6
13.45,-16.58,23.0,10.5,16.9,1012.0,83,0,25.1
41.73,44.79,16.0,5.6,9.0,1020.0,68,100,16.0
52.52,13.4,22.0,20.6,33.1,1011.0,38,0,23.9
5.55,-0.22,29.0,5.6,9.0,1012.0,84,25,34.5
37.98,23.72,23.0,2.2,3.6,1020.0,38,25,24.6
12.05,-61.75,28.0,13.6,22.0,1011.0,79,25,32.6
14.62,-90.53,20.0,13.6,22.0,1019.0,88,100,20.0
9.51,-13.71,26.0,2.2,3.6,1012.0,94,100,29.0
11.85,-15.58,24.0,3.8,6.1,1013.0,89,75,25.7
6.8,-58.17,24.0,2.2,3.6,1011.0,100,50,26.4
18.54,-72.34,21.0,2.5,4.0,1014.0,88,18,21.0
41.9,12.45,24.0,2.2,3.6,1006.0,57,0,25.1
14.1,-87.22,23.0,3.8,6.1,1017.0,78,37,25.3
47.5,19.08,20.0,18.6,29.9,1017.0,43,75,20.0
63.83,-22.43,7.0,9.4,15.1,1013.0,93,75,6.9
28.6,77.2,42.0,6.9,11.2,1008.0,13,0,43.0
-6.21,106.85,32.0,15.0,24.1,1007.0,63,50,38.2
35.73,51.33,24.0,11.9,19.1,1018.0,25,25,23.2
33.34,44.39,33.0,13.6,22.0,1012.0,17,50,30.9
53.33,-6.25,14.0,4.3,6.8,1007.0,94,75,13.3
31.78,35.23,25.0,8.1,13.0,1018.0,54,25,25.0
41.9,12.48,24.0,2.2,3.6,1006.0,57,0,25.1
17.97,-76.75,21.9,2.2,3.6,1013.0,84,84,21.9
35.69,139.69,24.0,20.6,33.1,1001.0,47,25,25.3
31.95,35.93,23.0,9.4,15.1,1020.0,29,0,23.4
51.18,71.43,16.0,13.6,22.0,1022.0,34,0,16.0
-1.28,36.82,23.0,2.2,3.6,1025.0,61,75,25.0
-0.88,169.53,28.8,12.3,19.8,1008.0,75,66,33.3
29.37,47.96,30.4,17.4,28.1,1008.0,44,50,32.6
42.87,74.6,22.5,8.1,13.0,1018.0,59,79,24.7
-8.18,114.32,28.0,5.6,9.0,1010.0,74,80,31.4
56.95,24.1,17.0,5.6,9.0,1026.0,48,0,17.0
33.87,35.51,22.0,5.6,9.0,1020.0,65,25,24.5
-29.32,27.48,18.0,2.2,3.6,1029.0,52,0,18.0
6.31,-10.8,26.0,2.2,3.6,1012.0,94,75,29.1
18.78,100.78,33.0,6.9,11.2,1007.0,63,75,34.9
47.13,9.52,15.0,5.6,9.0,1006.0,72,25,15.8
54.68,25.32,17.0,8.1,13.0,1027.0,39,0,17.0
49.61,6.13,14.0,10.5,16.9,1005.0,88,75,13.1
-18.92,47.52,22.0,16.1,25.9,1024.0,53,50,24.5
-13.98,33.78,21.0,8.1,13.0,1025.0,64,75,21.0
3.17,101.7,29.0,6.9,11.2,1008.0,84,25,35.7
3.48,73.53,29.5,13.4,21.6,1009.0,76,89,35.1
12.65,-8.0,27.0,4.3,6.8,1014.0,74,0,28.5
35.9,14.51,28.0,9.4,15.1,1005.0,45,0,32.1
7.1,171.38,29.0,6.9,11.2,1010.0,79,75,35.0
18.09,-15.98,19.5,11.0,17.6,1012.0,79,0,19.5
-20.16,57.5,24.0,16.1,25.9,1020.0,83,75,25.7
19.43,-99.13,20.8,6.7,10.8,1013.0,47,5,20.8
6.92,158.15,27.0,2.2,3.6,1010.0,89,100,30.4
36.26,46.59,15.9,14.5,23.4,1016.0,34,44,15.9
43.73,7.42,16.0,12.5,20.2,1006.0,82,50,16.0
47.92,106.92,27.0,13.6,22.0,1007.0,17,0,26.6
42.44,19.26,16.0,2.2,3.6,1014.0,88,75,16.0
34.03,-6.84,18.0,5.6,9.0,1014.0,60,75,18.0
-25.97,32.59,24.0,5.6,9.0,1024.0,65,25,25.5
16.78,94.73,37.5,15.0,24.1,1005.0,36,13,41.4
-22.57,17.08,20.0,6.9,11.2,1033.0,40,0,20.0
39.55,27.62,18.0,2.2,3.6,1020.0,56,0,18.0
27.72,85.32,29.0,11.9,19.1,1017.0,48,50,27.7
52.37,4.89,16.0,4.3,6.8,1003.0,94,75,16.0
-41.3,174.78,13.0,23.0,37.1,1019.0,77,75,10.3
12.15,-86.27,27.2,3.6,5.8,1009.0,80,75,30.6
13.52,2.12,33.0,12.5,20.2,1011.0,36,0,33.7
9.18,7.18,29.2,4.5,7.2,1012.0,67,32,32.8
39.02,125.75,19.0,11.4,18.4,1007.0,27,4,19.0
42.0,21.43,13.0,2.2,3.6,1020.0,88,100,11.8
59.92,10.75,18.0,8.1,13.0,1021.0,49,0,18.0
23.61,58.59,33.0,11.9,19.1,1009.0,56,0,36.4
33.7,73.17,38.2,7.4,11.9,1008.0,15,2,37.4
7.35,134.45,31.0,6.9,11.2,1008.0,75,75,38.1
-11.18,-67.08,17.4,2.2,3.6,1012.0,83,13,17.4
8.97,-79.53,26.0,2.2,3.6,1010.0,94,100,29.6
-9.46,147.19,26.2,9.8,15.8,1008.0,90,89,29.9
-19.45,-61.15,14.1,6.9,11.2,1010.0,79,10,13.4
-12.05,-77.05,16.6,7.4,11.9,1013.0,89,59,16.6
14.6,120.98,35.0,2.2,3.6,1007.0,56,50,41.3
52.25,21.0,18.0,19.2,31.0,1021.0,34,0,18.0
38.72,-9.13,16.0,6.9,11.2,1013.0,77,75,16.0
25.29,51.53,37.0,11.9,19.1,1009.0,37,0,39.2
44.43,26.1,18.0,11.9,19.1,1023.0,26,0,18.0
55.75,37.62,18.0,11.9,19.1,1023.0,42,0,18.0
-1.95,30.06,25.0,5.6,9.0,1023.0,61,50,27.0
17.3,-62.72,27.0,8.1,13.0,1013.0,79,0,30.0
14.0,-61.0,28.0,12.5,20.2,1012.0,84,75,32.3
13.13,-61.22,28.0,12.5,20.2,1012.0,84,75,31.7
-13.83,-171.73,26.0,3.8,6.1,1011.0,94,50,28.5
43.93,12.45,18.0,2.2,3.6,1007.0,88,100,18.0
50.88,2.98,14.0,8.1,13.0,1004.0,94,75,12.9
24.64,46.77,39.0,9.4,15.1,1010.0,7,0,38.5
14.67,-17.44,22.0,6.9,11.2,1013.0,78,75,24.5
44.8,20.47,19.0,25.5,41.0,1015.0,56,0,19.0
-4.62,55.45,27.0,12.5,20.2,1010.0,89,75,30.5
8.49,-13.23,27.4,2.2,3.6,1012.0,79,36,30.9
1.29,103.86,26.0,2.5,4.0,1009.0,89,75,28.4
48.15,17.12,17.0,16.1,25.9,1015.0,55,25,17.0
46.06,14.51,16.0,10.5,16.9,1011.0,82,75,16.0
-9.43,159.95,26.9,9.8,15.8,1009.0,87,78,31.0
2.07,45.37,30.0,13.6,22.0,1012.0,89,25,35.5
-25.75,28.19,20.0,3.8,6.1,1031.0,35,0,20.0
37.57,127.0,19.0,9.4,15.1,1008.0,35,0,19.0
12.15,24.45,30.3,20.6,33.1,1014.0,10,6,28.0
40.4,-3.68,14.0,11.9,19.1,1011.0,47,0,12.7
6.93,79.85,26.0,3.8,6.1,1008.0,94,50,29.5
15.59,32.53,32.5,15.7,25.2,1012.0,10,3,30.3
5.83,-55.17,24.4,4.7,7.6,1010.0,96,43,27.2
59.33,18.05,20.0,6.9,11.2,1024.0,40,0,20.0
46.92,7.47,14.0,2.2,3.6,1006.0,82,75,14.5
33.5,36.3,24.0,2.2,3.6,1019.0,31,0,23.9
38.56,68.77,29.0,2.2,3.6,1017.0,37,25,29.4
-6.18,35.75,25.0,11.9,19.1,1021.0,57,50,26.0
13.75,100.52,31.0,9.4,15.1,1007.0,75,25,32.7
-8.56,125.57,28.0,8.9,14.4,1010.0,77,79,31.8
43.81,23.24,19.0,18.6,29.9,1021.0,43,0,19.0
-21.13,-175.2,23.0,20.6,33.1,1016.0,100,100,25.2
10.65,-61.52,26.0,2.2,3.6,1011.0,89,25,29.6
36.8,10.18,24.0,11.9,19.1,1008.0,57,25,25.2
39.93,32.86,16.0,8.1,13.0,1020.0,45,75,16.0
37.95,58.38,23.0,4.3,6.8,1016.0,69,75,24.9
-8.52,179.22,26.0,12.5,20.2,1008.0,100,100,28.4
0.32,32.57,25.7,2.2,3.6,1015.0,60,77,26.9
50.43,30.52,13.8,8.1,13.0,1027.0,53,72,12.8
24.47,54.37,39.0,6.9,11.2,1009.0,19,0,50.0
51.52,-0.11,14.0,2.5,4.0,1005.0,88,50,14.5
46.6,-120.49,16.1,4.3,6.8,1012.0,58,0,16.1
-34.86,-56.17,6.0,5.6,9.0,1014.0,87,0,3.4
41.32,69.25,22.0,9.4,15.1,1019.0,73,37,24.5
-17.73,168.32,25.0,8.1,13.0,1013.0,83,50,26.9
10.5,-66.92,26.0,2.2,3.6,1013.0,84,25,29.9
21.03,105.85,30.0,4.3,6.8,1011.0,62,75,32.5
15.35,44.21,25.7,7.8,12.6,1014.0,27,82,24.9
-15.42,28.28,21.8,8.9,14.4,1021.0,46,12,21.8
-17.82,31.04,20.2,6.0,9.7,1022.0,37,4,20.2
34.52,69.18,22.0,4.5,7.2,1014.0,41,89,22.0
41.33,19.82,29.0,4.3,6.8,1008.0,45,25,31.9
36.76,3.05,25.0,17.4,28.1,1010.0,39,25,25.9
42.5,1.52,6.3,6.3,10.1,1007.0,76,76,4.2
-8.84,13.23,32.0,16.1,25.9,1008.0,63,0,40.4
17.12,-61.85,29.0,9.4,15.1,1015.0,75,50,33.4
-34.59,-58.67,11.0,6.9,11.2,1014.0,76,0,10.1
40.18,44.51,15.0,2.5,4.0,1017.0,77,37,15.4
-35.28,149.22,5.0,2.2,3.6,1027.0,100,0,4.7
48.2,16.37,17.0,16.1,25.9,1013.0,72,75,17.0
40.4,49.88,17.0,11.9,19.1,1019.0,59,50,17.0
25.08,-77.35,29.0,16.1,25.9,1013.0,79,50,35.7
26.24,50.58,36.0,10.5,16.9,1005.0,42,0,42.8
23.72,90.41,34.2,7.8,12.6,1005.0,41,20,36.9
13.1,-59.62,30.0,19.2,31.0,1014.0,75,25,35.8
53.9,27.57,17.0,4.3,6.8,1025.0,34,0,17.0
50.83,4.33,17.0,11.9,19.1,1005.0,77,50,17.0
17.25,-88.77,30.0,8.1,13.0,1010.0,79,75,34.7
6.48,2.62,24.0,17.4,28.1,1012.0,89,100,26.2
27.48,89.6,10.5,3.6,5.8,1017.0,90,72,10.1
-19.04,-65.26,18.8,3.1,5.0,1010.0,37,13,18.9
43.85,18.38,20.0,2.2,3.6,1011.0,83,25,20.0
-24.65,25.91,29.0,6.9,11.2,1024.0,19,25,26.9
-2.08,-58.17,31.4,4.0,6.5,1011.0,61,31,36.2
4.88,114.93,27.0,6.9,11.2,1010.0,100,75,31.3
42.68,23.32,11.0,19.2,31.0,1020.0,82,75,9.4
12.37,-1.52,24.0,10.5,16.9,1016.0,94,25,23.9
-3.38,29.36,31.0,20.6,33.1,1012.0,55,25,38.0
-24.37,46.45,27.8,11.4,18.4,1017.0,48,19,28.3
14.93,-23.51,26.0,19.2,31.0,1014.0,58,25,27.6
11.55,104.92,30.0,9.4,15.1,1008.0,75,50,33.2
3.87,11.52,32.0,4.3,6.8,1014.0,56,75,37.5
45.42,-75.7,16.0,6.9,11.2,1013.0,63,75,16.0
4.37,18.58,35.0,2.2,3.6,1009.0,53,50,36.5
12.11,15.05,42.0,6.9,11.2,1006.0,25,50,43.0
-33.45,-70.67,2.0,4.3,6.8,1020.0,87,0,1.4
39.93,116.39,23.0,4.3,6.8,1003.0,47,0,23.0
43.32,24.7,19.4,12.3,19.8,1017.0,61,52,19.4
-11.7,43.24,25.8,17.4,28.1,1014.0,79,80,28.2
-4.26,15.28,32.0,16.1,25.9,1009.0,56,25,33.7
9.97,-84.08,23.0,5.6,9.0,1017.0,89,0,25.3
45.8,16.0,20.0,9.4,15.1,1010.0,68,75,20.0
23.13,-82.36,29.0,10.5,16.9,1014.0,75,25,31.1
35.17,33.37,26.0,16.1,25.9,1016.0,54,25,26.2
50.08,14.47,19.0,25.5,41.0,1010.0,49,50,19.0
-4.3,15.3,32.0,16.1,25.9,1009.0,56,25,34.1
55.67,12.58,18.0,21.7,34.9,1016.0,42,0,18.0
11.6,43.15,35.0,11.9,19.1,1006.0,53,75,47.6
15.3,-61.4,30.0,11.9,19.1,1015.0,79,50,35.7
18.47,-69.9,28.0,6.9,11.2,1015.0,84,25,30.4
-0.22,-78.5,16.2,2.2,3.6,1016.0,66,14,16.2
30.05,31.25,32.0,23.0,37.1,1017.0,23,0,29.8
13.71,-89.2,26.0,4.3,6.8,1011.0,89,50,28.0
3.75,8.78,32.0,9.4,15.1,1009.0,80,50,42.3
15.33,38.93,22.2,6.7,10.8,1012.0,52,82,24.5
59.43,24.73,20.0,18.6,29.9,1023.0,37,0,20.0
-26.32,31.13,22.5,4.7,7.6,1021.0,38,2,24.1
9.03,38.7,26.0,6.9,11.2,1024.0,39,75,26.2
-18.13,178.42,24.0,2.2,3.6,1011.0,100,75,26.4
60.18,24.93,26.0,15.0,24.1,1021.0,30,0,26.0
48.87,2.33,18.0,6.9,11.2,1006.0,52,75,18.0
0.38,9.45,31.0,8.1,13.0,1009.0,71,25,40.2
13.45,-16.58,30.0,8.1,13.0,1012.0,52,0,35.0
41.73,44.79,13.0,5.6,9.0,1018.0,88,62,12.5
52.52,13.4,24.0,24.2,38.9,1009.0,31,0,24.4
5.55,-0.22,31.0,10.5,16.9,1011.0,71,25,38.1
37.98,23.72,21.0,11.9,19.1,1020.0,43,25,21.0
12.05,-61.75,31.0,15.0,24.1,1014.0,66,25,37.9
14.62,-90.53,21.0,2.2,3.6,1021.0,83,75,21.0
9.51,-13.71,31.0,6.9,11.2,1012.0,71,50,40.1
11.85,-15.58,34.0,5.6,9.0,1012.0,44,25,39.8
6.8,-58.17,29.0,2.2,3.6,1012.0,84,75,32.3
18.54,-72.34,30.0,4.3,6.8,1015.0,61,25,33.7
41.9,12.45,22.0,12.5,20.2,1005.0,69,25,24.5
14.1,-87.22,25.0,2.5,4.0,1018.0,69,75,26.5
47.5,19.08,22.0,19.2,31.0,1014.0,38,0,24.4
63.83,-22.43,9.0,11.9,19.1,1014.0,66,75,7.1
28.6,77.2,38.0,6.9,11.2,1005.0,23,0,37.1
-6.21,106.85,29.0,9.4,15.1,1010.0,84,75,34.5
35.73,51.33,26.0,16.1,25.9,1015.0,17,25,24.5
33.34,44.39,35.0,11.9,19.1,1010.0,16,50,33.2
53.33,-6.25,19.0,9.4,15.1,1007.0,64,75,19.0
31.78,35.23,25.0,13.6,22.0,1017.0,51,0,25.2
41.9,12.48,22.0,12.5,20.2,1005.0,69,25,24.5
17.97,-76.75,31.0,11.9,19.1,1014.0,66,25,34.6
35.69,139.69,18.3,11.9,19.1,1005.0,44,0,18.3
31.95,35.93,25.0,13.6,22.0,1020.0,21,0,24.7
51.18,71.43,15.0,11.9,19.1,1020.0,41,0,14.0
-1.28,36.82,25.0,6.9,11.2,1020.0,54,75,27.0
-0.88,169.53,28.8,10.7,17.3,1006.0,77,69,33.5
29.37,47.96,29.0,13.6,22.0,1006.0,51,0,30.3
42.87,74.6,15.3,8.3,13.3,1022.0,97,100,15.3
-8.18,114.32,20.7,2.7,4.3,1013.0,95,75,20.7
56.95,24.1,21.0,3.8,6.1,1024.0,40,0,21.0
33.87,35.51,23.0,4.3,6.8,1020.0,61,0,24.9
-29.32,27.48,23.4,11.4,18.4,1021.0,24,4,23.3
6.31,-10.8,31.0,5.6,9.0,1012.0,75,75,37.5
18.78,100.78,27.0,2.2,3.6,1008.0,89,0,29.5
47.13,9.52,19.0,8.1,13.0,1004.0,60,25,19.0
54.68,25.32,18.0,8.1,13.0,1025.0,34,0,18.0
49.61,6.13,17.0,10.5,16.9,1006.0,63,50,17.0
-18.92,47.52,19.0,11.9,19.1,1023.0,64,50,19.0
-13.98,33.78,24.0,9.4,15.1,1021.0,47,75,24.9
3.17,101.7,25.0,2.2,3.6,1010.0,100,50,27.9
3.48,73.53,29.6,13.9,22.3,1009.0,77,38,35.7
12.65,-8.0,31.0,12.5,20.2,1013.0,55,25,29.7
35.9,14.51,26.0,6.9,11.2,1006.0,61,0,28.6
7.1,171.38,28.0,10.5,16.9,1009.0,84,100,33.0
18.09,-15.98,22.7,16.1,25.9,1011.0,65,0,24.8
-20.16,57.5,24.0,13.6,22.0,1019.0,74,50,25.8
19.43,-99.13,13.0,4.3,6.8,1028.0,67,0,13.6
6.92,158.15,25.0,2.5,4.0,1011.0,94,100,26.9
36.26,46.59,17.2,11.4,18.4,1015.0,44,18,17.2
43.73,7.42,20.0,18.6,29.9,1004.0,73,25,20.0
47.92,106.92,16.0,6.9,11.2,1006.0,36,0,16.0
42.44,19.26,24.0,2.2,3.6,1010.0,57,0,25.5
34.03,-6.84,20.0,11.9,19.1,1013.0,53,50,20.0
-25.97,32.59,26.0,9.4,15.1,1020.0,61,25,27.2
16.78,94.73,30.3,8.9,14.4,1008.0,71,11,35.9
-22.57,17.08,24.0,12.5,20.2,1029.0,24,0,23.3
39.55,27.62,21.0,6.9,11.2,1020.0,46,0,21.0
27.72,85.32,25.0,5.6,9.0,1016.0,57,25,25.0
52.37,4.89,20.0,12.5,20.2,1003.0,68,50,20.0
-41.3,174.78,12.0,15.0,24.1,1022.0,67,75,10.4
12.15,-86.27,28.0,4.3,6.8,1010.0,84,50,31.8
13.52,2.12,40.0,18.6,29.9,1009.0,23,0,40.9
9.18,7.18,35.2,6.3,10.1,1007.0,43,32,39.2
39.02,125.75,11.6,3.8,6.1,1010.0,46,14,11.3
42.0,21.43,14.0,5.6,9.0,1019.0,94,100,12.6
59.92,10.75,18.0,28.6,46.1,1017.0,42,0,18.0
23.61,58.59,33.0,5.6,9.0,1007.0,59,0,37.9
33.7,73.17,33.0,7.2,11.5,1006.0,22,0,31.2
7.35,134.45,27.0,2.2,3.6,1011.0,89,50,30.6
-11.18,-67.08,26.0,2.2,3.6,1015.0,55,7,26.9
8.97,-79.53,28.0,5.6,9.0,1011.0,84,50,32.1
-9.46,147.19,24.0,2.2,3.6,1009.0,100,25,26.5
-19.45,-61.15,24.5,16.3,26.3,1011.0,50,7,25.5
-12.05,-77.05,19.0,4.5,7.2,1015.0,81,19,19.0
14.6,120.98,31.0,8.1,13.0,1010.0,71,50,38.1
52.25,21.0,21.0,19.2,31.0,1019.0,28,0,21.0
38.72,-9.13,19.0,12.5,20.2,1012.0,60,75,19.0
25.29,51.53,35.0,11.9,19.1,1006.0,35,0,37.1
44.43,26.1,20.0,11.9,19.1,1021.0,32,0,20.0
55.75,37.62,20.0,9.4,15.1,1020.0,37,0,20.0
-1.95,30.06,28.0,6.9,11.2,1018.0,42,50,30.3
17.3,-62.72,30.0,9.4,15.1,1015.0,75,50,35.9
14.0,-61.0,30.0,12.5,20.2,1015.0,70,75,34.3
13.13,-61.22,30.0,20.6,33.1,1014.0,75,25,36.1
-13.83,-171.73,27.0,8.1,13.0,1009.0,89,75,30.3
43.93,12.45,20.0,13.6,22.0,1003.0,88,25,20.0
50.88,2.98,14.0,8.1,13.0,1005.0,94,100,13.6
24.64,46.77,41.0,9.4,15.1,1008.0,7,0,41.4
14.67,-17.44,26.0,9.4,15.1,1013.0,70,50,28.2
44.8,20.47,20.0,26.6,42.8,1013.0,56,25,20.0
-4.62,55.45,28.0,6.9,11.2,1008.0,84,50,32.8
8.49,-13.23,29.0,10.5,16.9,1011.0,79,75,32.6
1.29,103.86,27.0,2.2,3.6,1011.0,94,75,30.3
48.15,17.12,17.0,16.1,25.9,1013.0,72,75,17.0
46.06,14.51,17.0,13.6,22.0,1009.0,72,75,17.0
-9.43,159.95,25.8,8.7,14.0,1010.0,89,85,29.1
2.07,45.37,30.0,17.4,28.1,1010.0,75,50,36.9
-25.75,28.19,26.0,4.3,6.8,1027.0,23,0,24.5
37.57,127.0,13.0,4.3,6.8,1011.0,88,0,12.6
12.15,24.45,37.5,14.5,23.4,1008.0,7,9,36.4
40.4,-3.68,18.0,15.0,24.1,1009.0,39,0,18.0
6.93,79.85,26.0,3.8,6.1,1009.0,94,75,29.2
15.59,32.53,38.4,7.6,12.2,1007.0,6,4,37.6
5.83,-55.17,31.0,5.6,9.0,1012.0,75,50,35.7
59.33,18.05,22.0,11.9,19.1,1024.0,35,0,24.2
46.92,7.47,12.0,6.9,11.2,1006.0,100,100,12.5
33.5,36.3,29.0,13.6,22.0,1016.0,14,0,26.9
38.56,68.77,26.0,9.4,15.1,1015.0,54,50,27.4
-6.18,35.75,28.0,6.9,11.2,1017.0,45,75,28.3
13.75,100.52,30.0,6.9,11.2,1009.0,79,25,33.7
-8.56,125.57,25.8,6.3,10.1,1013.0,79,85,28.1
43.81,23.24,19.0,12.5,20.2,1019.0,40,0,19.0
-21.13,-175.2,23.0,11.9,19.1,1017.0,94,100,25.3
10.65,-61.52,31.0,11.9,19.1,1013.0,75,25,35.0
36.8,10.18,27.0,12.5,20.2,1008.0,37,25,26.6
39.93,32.86,21.0,11.9,19.1,1018.0,31,50,21.0
37.95,58.38,18.0,32.2,51.8,1016.0,100,60,18.0
-8.52,179.22,28.0,2.2,3.6,1007.0,84,100,32.1
0.32,32.57,26.0,8.1,13.0,1016.0,58,25,27.3
50.43,30.52,14.6,5.6,9.0,1026.0,51,75,14.3
24.47,54.37,36.0,8.1,13.0,1007.0,33,0,46.3
51.52,-0.11,15.0,6.9,11.2,1005.0,77,50,15.1
46.6,-120.49,15.6,23.0,37.1,1011.0,55,0,15.6
-34.86,-56.17,12.0,5.6,9.0,1014.0,71,0,10.4
41.32,69.25,23.0,13.6,22.0,1017.0,65,0,24.9
-17.73,168.32,23.0,4.3,6.8,1013.0,89,75,25.0
10.5,-66.92,31.0,4.3,6.8,1013.0,66,25,35.9
21.03,105.85,26.0,5.6,9.0,1013.0,84,0,28.2
15.35,44.21,26.2,9.6,15.5,1010.0,29,72,25.4
-15.42,28.28,24.2,9.6,15.5,1016.0,30,19,24.3
-17.82,31.04,22.9,7.6,12.2,1017.0,26,5,23.2
34.52,69.18,15.0,3.4,5.4,1017.0,75,77,15.3
41.33,19.82,25.0,4.3,6.8,1013.0,61,0,27.0
36.76,3.05,25.0,9.4,15.1,1010.0,30,0,25.7
42.5,1.52,9.7,6.7,10.8,1008.0,57,80,8.1
-8.84,13.23,29.0,15.0,24.1,1009.0,75,0,35.2
17.12,-61.85,31.0,12.5,20.2,1016.0,66,50,37.9
-34.59,-58.67,13.0,6.9,11.2,1019.0,67,25,12.0
40.18,44.51,17.0,6.9,11.2,1015.0,25,62,17.0
-35.28,149.22,7.0,5.6,9.0,1023.0,66,100,3.4
48.2,16.37,14.0,4.3,6.8,1011.0,88,75,13.8
40.4,49.88,14.0,18.6,29.9,1017.0,72,25,11.4
25.08,-77.35,32.0,9.4,15.1,1015.0,67,50,40.8
26.24,50.58,32.0,9.4,15.1,1005.0,71,0,40.4
23.72,90.41,32.0,15.0,24.1,1004.0,62,6,37.7
13.1,-59.62,31.0,21.7,34.9,1014.0,75,75,38.3
53.9,27.57,22.0,11.9,19.1,1018.0,41,0,24.6
50.83,4.33,14.0,8.1,13.0,1008.0,88,100,12.6
17.25,-88.77,32.0,5.6,9.0,1008.0,80,25,33.2
6.48,2.62,32.0,9.4,15.1,1010.0,71,25,41.6
27.48,89.6,10.5,2.7,4.3,1017.0,93,71,10.6
-19.04,-65.26,18.9,8.1,13.0,1010.0,50,7,18.9
43.85,18.38,25.0,13.6,22.0,1011.0,36,0,26.9
-24.65,25.91,30.0,2.2,3.6,1022.0,21,0,28.0
-2.08,-58.17,29.6,3.6,5.8,1011.0,79,88,35.8
